Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
CE,Slovenia,2020-03-12 14:00,3,0,0
GO,Slovenia,2020-03-12 14:00,1,0,0
KK,Slovenia,2020-03-12 14:00,0,0,0
KP,Slovenia,2020-03-12 14:00,1,0,0
KR,Slovenia,2020-03-12 14:00,1,0,0
LJ,Slovenia,2020-03-12 14:00,44,0,0
MB,Slovenia,2020-03-12 14:00,7,0,0
MS,Slovenia,2020-03-12 14:00,3,0,0
NM,Slovenia,2020-03-12 14:00,20,0,0
PO,Slovenia,2020-03-12 14:00,2,0,0
SG,Slovenia,2020-03-12 14:00,0,0,0
