Date,source_ITA,source_AUT,source_ESP,source_SLO
2020-03-04,1,,,
2020-03-05,3,,,
2020-03-06,7,,,
2020-03-07,10,1,1,
2020-03-08,11,1,1,3
2020-03-09,12,1,1,9
2020-03-10,12,1,1,9
2020-03-11,12,1,1,19
2020-03-12,19,1,1,61
