Date,LJ,NM,MB,MS,CE,PO,KP,NG,KR
2020-03-04,1,,,,,,,,
2020-03-05,3,,,,,,,,
2020-03-06,5,1,,1,,,,,
2020-03-07,7,2,1,2,,,,,
2020-03-08,7,5,1,2,,,1,,
2020-03-09,11,10,1,2,,,1,,
2020-03-10,15,10,1,3,1,,1,,
2020-03-11,27,12,1,3,1,2,1,,
2020-03-12,44,20,7,3,3,2,1,1,1
