Date,ITA,AUT,ESP
2020-03-04,1,0,0
2020-03-05,3,0,0
2020-03-06,7,0,0
2020-03-07,10,1,1
2020-03-08,11,1,1
2020-03-09,12,1,1
2020-03-10,12,1,1
2020-03-11,12,1,1
2020-03-12,19,1,1
